scenario_mode,scenario_label,total_people,method_label,source_group,line,source_type,source_zone,configured_people,evacuated_people,exit_name,people,pct_of_group
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C1_Wait,L16,platform_waiting,Platform_L16_A_C1_Wait,4.0,4.0,Exit_L16_10,2.0,0.5
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C1_Wait,L16,platform_waiting,Platform_L16_A_C1_Wait,4.0,4.0,Exit_L16_11,2.0,0.5
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C2_Wait,L16,platform_waiting,Platform_L16_A_C2_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C3_Wait,L16,platform_waiting,Platform_L16_A_C3_Wait,4.0,4.0,Exit_L16_10,2.0,0.5
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C3_Wait,L16,platform_waiting,Platform_L16_A_C3_Wait,4.0,4.0,Exit_L16_11,2.0,0.5
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C4_Wait,L16,platform_waiting,Platform_L16_A_C4_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C5_Wait,L16,platform_waiting,Platform_L16_A_C5_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C6_Wait,L16,platform_waiting,Platform_L16_A_C6_Wait,3.0,3.0,Exit_L16_10,1.0,0.3333333333333333
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_A_C6_Wait,L16,platform_waiting,Platform_L16_A_C6_Wait,3.0,3.0,Exit_L16_11,2.0,0.6666666666666666
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C1_Wait,L16,platform_waiting,Platform_L16_B_C1_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C2_Wait,L16,platform_waiting,Platform_L16_B_C2_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C3_Wait,L16,platform_waiting,Platform_L16_B_C3_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C4_Wait,L16,platform_waiting,Platform_L16_B_C4_Wait,3.0,3.0,Exit_L16_10,2.0,0.6666666666666666
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C4_Wait,L16,platform_waiting,Platform_L16_B_C4_Wait,3.0,3.0,Exit_L16_11,1.0,0.3333333333333333
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C5_Wait,L16,platform_waiting,Platform_L16_B_C5_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C6_Wait,L16,platform_waiting,Platform_L16_B_C6_Wait,3.0,3.0,Exit_L16_10,1.0,0.3333333333333333
4,mode4,17905,AdaptiveSingleNextHop,L16_platform::Platform_L16_B_C6_Wait,L16,platform_waiting,Platform_L16_B_C6_Wait,3.0,3.0,Exit_L16_11,2.0,0.6666666666666666
4,mode4,17905,AdaptiveSingleNextHop,L16_hall,L16,hall_people,,15.0,15.0,Exit_L16_10,10.0,0.6666666666666666
4,mode4,17905,AdaptiveSingleNextHop,L16_hall,L16,hall_people,,15.0,15.0,Exit_L16_11,5.0,0.3333333333333333
4,mode4,17905,AdaptiveSingleNextHop,L16_L18_transfer,L16,transfer_people,L18,6.0,6.0,Exit_L18_12,4.0,0.6666666666666666
4,mode4,17905,AdaptiveSingleNextHop,L16_L18_transfer,L16,transfer_people,L18,6.0,6.0,Exit_L18_13,2.0,0.3333333333333333
4,mode4,17905,AdaptiveSingleNextHop,L16_Maglev_transfer,L16,transfer_people,Maglev,21.0,21.0,Exit_L2_6,21.0,1.0
4,mode4,17905,AdaptiveSingleNextHop,L16_train1,L16,train_1,,1230.0,1230.0,Exit_L16_10,910.0,0.7398373983739838
4,mode4,17905,AdaptiveSingleNextHop,L16_train1,L16,train_1,,1230.0,1230.0,Exit_L16_11,320.0,0.2601626016260163
4,mode4,17905,AdaptiveSingleNextHop,L16_train2,L16,train_2,,1230.0,1230.0,Exit_L16_10,414.0,0.33658536585365856
4,mode4,17905,AdaptiveSingleNextHop,L16_train2,L16,train_2,,1230.0,1230.0,Exit_L16_11,816.0,0.6634146341463415
4,mode4,17905,AdaptiveSingleNextHop,L18_platform::Platform_L18_C1_Wait,L18,platform_waiting,Platform_L18_C1_Wait,29.0,29.0,Exit_L16_10,4.0,0.13793103448275862
4,mode4,17905,AdaptiveSingleNextHop,L18_platform::Platform_L18_C1_Wait,L18,platform_waiting,Platform_L18_C1_Wait,29.0,29.0,Exit_L18_12,17.0,0.5862068965517241
