scenario_mode,scenario_label,total_people,method,time,queueing_time,moderate_congestion_exposure_time,severe_congestion_exposure_time,peak_congestion_index,avg_speed,avg_travel_time,wall_clock_runtime_s
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,319.5,41313.0,5078.0,0.0,4.620060790273556,1.2113984773524613,96.17447172865828,104.0890214999672
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,832.0,1344205.5,1507605.5,759239.5,7.935595169637723,1.0214957907239421,100.14464332625751,1537.2314950998407
