"scenario_mode","scenario_label","total_people","method","time","avg_travel_time","queueing_time","moderate_congestion_exposure_time","severe_congestion_exposure_time","peak_density","peak_congestion_index","avg_speed","wall_clock_runtime_s"
"1","mode1_regular_emergency","2187","ACO","458.5","105.32136294771274","53410.0","10151.0","0.0","4.620060790273556","4.620060790273556","1.1681186945495536","10.892879900056869"
"1","mode1_regular_emergency","2187","AdaptiveSingleNextHop","319.5","96.17447172865828","41313.0","5078.0","0.0",,"4.620060790273556","1.2113984773524613","104.0890214999672"
"1","mode1_regular_emergency","2187","ImprovedAStar","319.5","94.91419305434364","51269.0","14433.0","0.0","4.620060790273556","4.620060790273556","1.2041099352937734","7.200036899885163"
"4","mode4_bidirectional_full_train","17905","ACO","2261.5","85.44662199285978","5358992.0","5611077.0","5034452.5","41.36666666666667","41.36666666666667","0.9980061986866102","38.61117499996908"
"4","mode4_bidirectional_full_train","17905","AdaptiveSingleNextHop","832.0","100.14464332625751","1344205.5","1507605.5","759239.5",,"7.935595169637723","1.0214957907239421","1537.2314950998407"
"4","mode4_bidirectional_full_train","17905","ImprovedAStar","886.5","111.21787135174723","1961100.0","1998866.0","1195523.5","9.227272727272727","9.899445214979195","1.0285042386860512","378.80608129990287"
