rank,profile,mae,rmse,evac_time_s,avg_travel_time_s,queueing_time_person_s,moderate_congestion_person_s,severe_congestion_person_s,exit_hhi,active_exit_count,exit_Exit_L18_12_diff,exit_Exit_L18_13_diff,exit_Exit_L18_17_diff,exit_Exit_L7_7_diff,exit_Exit_L7_8/9_diff,exit_Exit_L2_6_diff,exit_Exit_L2_2_diff,exit_Exit_L2_3_diff,exit_Exit_L2_4_diff,exit_Exit_L16_10_diff,exit_Exit_L16_11_diff,exit_Exit_Maglev_18_diff,exit_Exit_Maglev_19_diff,exit_Exit_Maglev_20_diff,exit_Exit_Maglev_21_diff,OUR_GATE_QUEUE_WEIGHT,OUR_GATE_SOURCE_RELEASE_WEIGHT,OUR_GATE_SERVICE_RATE_WEIGHT,OUR_PATH_DOWNSTREAM_RELEASE_WEIGHT,OUR_PATH_EXIT_PRESSURE_WEIGHT,OUR_DENSITY_MODERATE_FACTOR,OUR_DENSITY_SEVERE_SURCHARGE,OUR_GATE_OVERLOAD_FACTOR,OUR_SERVICE_WAIT_TIME_WEIGHT
1,E1_Extreme_MinimalPenalties,86.26666666666667,112.90349861718192,321.0,90.31194892579639,35241.0,6989.5,2112.0,0.11004022815117556,10,-105.0,-44.0,163.0,-85.0,103.0,82.0,118.0,-273.0,52.0,129.0,-139.0,0.0,0.0,0.0,-1.0,0.1,0.01,0.5,0.01,0.35,0.05,0.1,0.05,0.1
2,E3_VeryHighExitPressure,86.26666666666667,111.45462454888685,321.0,90.18383750093216,35328.5,6897.5,2010.5,0.10848847232754384,10,-105.0,-44.0,163.0,-98.0,116.0,69.0,107.0,-260.0,63.0,129.0,-139.0,0.0,0.0,0.0,-1.0,0.1,0.01,0.5,0.01,0.85,0.05,0.1,0.05,0.1
3,E2_HighExitPressure,86.66666666666667,112.30019293542347,321.0,90.21345275655283,35435.0,7025.5,2112.0,0.10904335779721758,10,-105.0,-44.0,163.0,-97.0,115.0,73.0,113.0,-264.0,57.0,129.0,-139.0,0.0,0.0,0.0,-1.0,0.1,0.01,0.5,0.01,0.6,0.05,0.1,0.05,0.1
4,E4_HighExitPressure_LightDensity,87.06666666666666,112.46214177817055,321.0,90.19817997074423,36161.5,3853.0,0.0,0.1086001184619846,10,-105.0,-44.0,163.0,-101.0,119.0,72.0,108.0,-263.0,62.0,129.0,-139.0,0.0,0.0,0.0,-1.0,0.2,0.02,0.6,0.02,0.7,0.15,0.3,0.1,0.15
5,E0_UltraExtreme_PureDistance,88.13333333333334,115.21111057532603,321.0,90.29734502248093,36464.5,3816.5,0.0,0.11083053224890231,10,-105.0,-44.0,163.0,-99.0,117.0,82.0,132.0,-273.0,38.0,129.0,-139.0,0.0,0.0,0.0,-1.0,0.05,0.005,0.3,0.005,0.2,0.02,0.05,0.02,0.05
6,E5_HalfOriginal,88.13333333333334,113.46247544158965,321.0,90.23854065860046,35139.0,3853.0,0.0,0.10830657693997181,10,-105.0,-44.0,163.0,-109.0,127.0,72.0,105.0,-263.0,65.0,129.0,-139.0,0.0,0.0,0.0,-1.0,1.75,0.09,1.5,0.22,0.55,0.32,1.25,0.3,0.55
7,P0_PathfinderCompat_Existing,88.53333333333333,114.7989546990738,321.0,90.30299077984701,35951.5,3816.5,0.0,0.10937411469737729,10,-105.0,-44.0,163.0,-102.0,120.0,82.0,114.0,-273.0,56.0,129.0,-139.0,0.0,0.0,0.0,-1.0,1.0,0.03,1.5,0.08,0.08,0.2,0.8,0.2,0.45
