scenario_mode,scenario_label,total_people,method_label,source_group,line,source_type,source_zone,configured_people,evacuated_people,exit_name,people,pct_of_group
1,mode1,2187,AdaptiveSingleNextHop,L16_Maglev_transfer,L16,transfer_people,Maglev,21.0,21.0,Exit_L2_6,21.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_platform::Platform_L18_C1_Wait,L18,platform_waiting,Platform_L18_C1_Wait,29.0,29.0,Exit_L18_12,29.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_platform::Platform_L18_C2_Wait,L18,platform_waiting,Platform_L18_C2_Wait,32.0,32.0,Exit_L18_17,32.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_platform::Platform_L18_C3_Wait,L18,platform_waiting,Platform_L18_C3_Wait,29.0,29.0,Exit_L18_17,29.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_platform::Platform_L18_C4_Wait,L18,platform_waiting,Platform_L18_C4_Wait,28.0,28.0,Exit_L18_17,28.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_platform::Platform_L18_C5_Wait,L18,platform_waiting,Platform_L18_C5_Wait,28.0,28.0,Exit_L18_17,28.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_platform::Platform_L18_C6_Wait,L18,platform_waiting,Platform_L18_C6_Wait,32.0,32.0,Exit_L18_17,32.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L18_hall,L18,hall_people,,125.0,125.0,Exit_L18_12,29.0,0.232
1,mode1,2187,AdaptiveSingleNextHop,L18_hall,L18,hall_people,,125.0,125.0,Exit_L18_17,96.0,0.768
1,mode1,2187,AdaptiveSingleNextHop,L18_L16_transfer,L18,transfer_people,L16,188.0,188.0,Exit_L16_10,150.0,0.7978723404255319
1,mode1,2187,AdaptiveSingleNextHop,L18_L16_transfer,L18,transfer_people,L16,188.0,188.0,Exit_L16_11,38.0,0.20212765957446807
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z1_Wait,L2,platform_waiting,Platform_L2_Z1_Wait,50.0,50.0,Exit_L2_2,50.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z2_Wait,L2,platform_waiting,Platform_L2_Z2_Wait,69.0,69.0,Exit_L2_2,26.0,0.37681159420289856
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z2_Wait,L2,platform_waiting,Platform_L2_Z2_Wait,69.0,69.0,Exit_L2_4,43.0,0.6231884057971014
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_3,7.0,0.09859154929577464
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_6,64.0,0.9014084507042254
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_3,4.0,0.08695652173913043
1,mode1,2187,AdaptiveSingleNextHop,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_6,42.0,0.9130434782608695
1,mode1,2187,AdaptiveSingleNextHop,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
1,mode1,2187,AdaptiveSingleNextHop,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
1,mode1,2187,AdaptiveSingleNextHop,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
1,mode1,2187,AdaptiveSingleNextHop,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
1,mode1,2187,AdaptiveSingleNextHop,L2_L16_transfer,L2,transfer_people,L16,152.0,152.0,Exit_L16_11,152.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L2_L18_transfer,L2,transfer_people,L18,157.0,157.0,Exit_L18_12,157.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L2_L7_transfer,L2,transfer_people,L7,217.0,217.0,Exit_L7_7,157.0,0.7235023041474654
1,mode1,2187,AdaptiveSingleNextHop,L2_L7_transfer,L2,transfer_people,L7,217.0,217.0,Exit_L7_8/9,60.0,0.2764976958525346
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_7,16.0,0.48484848484848486
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_8/9,17.0,0.5151515151515151
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_7,40.0,0.8695652173913043
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_8/9,6.0,0.13043478260869565
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_8/9,36.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C4_Wait,L7,platform_waiting,Platform_L7_C4_Wait,44.0,44.0,Exit_L7_8/9,44.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C5_Wait,L7,platform_waiting,Platform_L7_C5_Wait,37.0,37.0,Exit_L7_8/9,37.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L7_platform::Platform_L7_C6_Wait,L7,platform_waiting,Platform_L7_C6_Wait,23.0,23.0,Exit_L7_8/9,23.0,1.0
1,mode1,2187,AdaptiveSingleNextHop,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_7,67.0,0.5982142857142857
1,mode1,2187,AdaptiveSingleNextHop,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_8/9,45.0,0.4017857142857143
1,mode1,2187,AdaptiveSingleNextHop,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L2_2,169.0,1.0
