scenario_mode,scenario_label,algorithm,guidance_mode,exit_name,people,share
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L16_10,190.0,0.08687700045724737
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L16_11,207.0,0.09465020576131687
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L18_12,245.0,0.11202560585276634
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L18_13,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L18_17,221.0,0.10105166895290352
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_2,330.0,0.15089163237311384
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_3,92.0,0.04206675811614083
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_4,161.0,0.07361682670324646
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_6,193.0,0.08824874256973023
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L7_7,292.0,0.13351623228166437
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L7_8/9,256.0,0.11705532693187014
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_18,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_19,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_20,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_21,0.0,0.0
