method,node,avg_occupancy,peak_density,queue_seconds
ACO,Escalator_L2_down1,291.5853363233419,594.2857142857142,1384782.5
ACO,Escalator_L7_up1,44.41908619980551,303.76344086021504,186844.0
ACO,Stair_Maglev_6,48.393425058249264,285.7692307692308,284548.5
ACO,Stair_L7_2,9.743580094175865,75.26595744680851,82852.0
ACO,Stair_L7_1,0.027927435214168735,0.4385964912280702,288.0
ACO,Stair_L7_3,4.662459971614614,51.814516129032256,52299.0
ACO,Stair_L18_2,0.0,0.0,0.0
ACO,Escalator_L7_down1,0.1371722545936068,1.075268817204301,577.0
ImprovedAStar,Escalator_L2_down1,4.589784361313366,20.952380952380953,8226.5
ImprovedAStar,Escalator_L7_up1,59.52875887395982,187.63440860215053,94502.5
ImprovedAStar,Stair_Maglev_6,6.565499526835203,68.07692307692308,14569.5
ImprovedAStar,Stair_L7_2,36.68935173067097,111.17021276595746,117742.0
ImprovedAStar,Stair_L7_1,28.286261934860555,90.78947368421053,110089.0
ImprovedAStar,Stair_L7_3,15.47281591926981,60.685483870967744,65502.0
ImprovedAStar,Stair_L18_2,8.160770229999251,59.34782608695652,32040.0
ImprovedAStar,Escalator_L7_down1,21.42600676531172,113.44086021505376,34014.0
AdaptiveSingleNextHop,Escalator_L2_down1,3.332604098300887,28.095238095238095,6855.0
AdaptiveSingleNextHop,Escalator_L7_up1,16.580217029755133,106.45161290322581,30207.0
AdaptiveSingleNextHop,Stair_Maglev_6,0.8917422546825311,20.76923076923077,2271.0
AdaptiveSingleNextHop,Stair_L7_2,20.03179542319681,79.25531914893618,73775.5
AdaptiveSingleNextHop,Stair_L7_1,30.47417228625419,126.09649122807019,136113.5
AdaptiveSingleNextHop,Stair_L7_3,16.221451036572304,63.50806451612903,78809.0
AdaptiveSingleNextHop,Stair_L18_2,13.741150098763795,90.43478260869566,61913.5
AdaptiveSingleNextHop,Escalator_L7_down1,18.21535016219599,92.47311827956989,33186.0
