method_label,method,evacuation_time_s,avg_travel_time_s,queueing_time_person_s,congestion_exposure_time_person_s,moderate_congestion_exposure_time_person_s,severe_congestion_exposure_time_person_s,peak_density_p_per_m2,avg_speed_m_per_s,wall_clock_runtime_s,exit_hhi,max_exit_share,active_exit_count,top_bottleneck_1,top_bottleneck_1_queue,top_bottleneck_2,top_bottleneck_2_queue,top_bottleneck_3,top_bottleneck_3_queue
AdaptiveSingleNextHop,AdaptiveSingleNextHop,319.5,99.46144038407074,43807.5,24666.0,24666.0,16971.5,19.047619047619047,1.1816879850752318,103.23740929993801,0.12016448360840307,0.18015546410608138,10,VN_2to7_Exit,8672.0,Gate_L7_West_Vert,4921.0,VN_L18_Exit12_Entrance,3979.5
NoUpstreamLoadPenalty,NoUpstreamLoadPenalty,336.5,100.13165178000973,41682.0,24241.0,24241.0,14845.0,19.892473118279568,1.1770498914800323,104.74368139985017,0.11293591909125901,0.15272062185642432,10,VN_2to7_Exit,10622.0,Transfer_L2-L7_Passageway,2643.0,Transfer_L7-L2_Z,2201.0
NoDownstreamLoadPenalty,NoDownstreamLoadPenalty,319.5,99.4736858183695,43854.0,24751.5,24751.5,17068.0,19.047619047619047,1.1816272464940845,100.96576980012469,0.12016448360840307,0.18015546410608138,10,VN_2to7_Exit,8672.0,Gate_L7_West_Vert,4921.0,VN_L18_Exit12_Entrance,3967.5
NoExitPressurePenalty,NoExitPressurePenalty,319.5,99.43905784041765,44119.0,25050.5,25050.5,17305.5,19.047619047619047,1.1816879850752322,101.15868139988743,0.12044255356871433,0.18015546410608138,10,VN_2to7_Exit,8672.0,Gate_L7_West_Vert,5268.5,VN_L18_Exit12_Entrance,3979.5
NoPredictivePenalties,NoPredictivePenalties,333.5,100.38068887124346,42083.0,24926.5,24926.5,15188.5,19.892473118279568,1.1753492112079234,107.34633309999481,0.11306010973518749,0.15272062185642432,10,VN_2to7_Exit,10587.0,Transfer_L2-L7_Passageway,2643.0,Transfer_L7-L2_Z,2201.0
