pair_label,event_count,baseline_change_count,guided_change_count,divergence_count,affected_source_count,first_change_time_s,guided_lower_density_count,guided_lower_density_share
OurSinglePath vs ACO,4654,2025,58,4137,27,1.0,94,0.022721779066956733
OurSinglePath vs PaperImprovedAStar,2191,24,58,2162,21,1.0,305,0.1410730804810361
