pair_label,event_count,baseline_change_count,guided_change_count,divergence_count,affected_source_count,first_change_time_s,guided_lower_density_count,guided_lower_density_share
AdaptiveSingleNextHop vs ACO,2899,0,258,2773,28,0.5,684,0.24666426253155427
AdaptiveSingleNextHop vs PaperImprovedAStar,7679,0,258,7562,28,0.5,862,0.11399100766992859
