run_id,noise_seed,capacity_low,capacity_high,failure_facility,method_label,evacuation_time_s,queueing_time_person_s,moderate_congestion_exposure_time_person_s,severe_congestion_exposure_time_person_s,peak_density_p_per_m2,avg_speed_m_per_s,wall_clock_runtime_s
14,20260527,0.95,1.05,,ACO,459.0,53918.5,30771.0,24161.5,22.857142857142858,1.1681186945495519,11.21329960017465
14,20260527,0.95,1.05,,PaperImprovedAStar,350.0,49592.0,25860.5,18259.5,19.047619047619047,1.2041052417207965,76.43979699979536
14,20260527,0.95,1.05,,AdaptiveSingleNextHop,435.0,46590.5,26742.5,18752.0,20.96774193548387,1.1808801785433685,99.19094540015794
15,20260528,0.95,1.05,,ACO,456.5,53771.5,31619.5,25348.0,21.428571428571427,1.1681186945495532,8.142828200012445
15,20260528,0.95,1.05,,PaperImprovedAStar,350.5,48780.0,25992.5,18260.0,19.0,1.2046537462717042,70.71434659999795
15,20260528,0.95,1.05,,AdaptiveSingleNextHop,436.0,43906.0,24743.0,17040.5,19.0,1.1815228624968641,98.58500359999016
16,20260529,0.95,1.05,,ACO,459.5,53456.0,31584.5,25150.0,20.476190476190474,1.1681186945495519,8.16346519999206
16,20260529,0.95,1.05,,PaperImprovedAStar,321.0,49583.5,26409.5,18880.0,19.0,1.2049466888019442,71.63283839984797
16,20260529,0.95,1.05,,AdaptiveSingleNextHop,320.5,44922.5,24957.0,16584.5,19.0,1.1816957540966102,89.09624089999124
17,20260530,0.95,1.05,,ACO,461.5,54913.5,32623.5,26544.5,23.80952380952381,1.1681186945495539,7.200417899992317
17,20260530,0.95,1.05,,PaperImprovedAStar,350.0,49126.5,25841.5,18446.0,19.523809523809522,1.204158064341991,63.938370699994266
17,20260530,0.95,1.05,,AdaptiveSingleNextHop,434.5,44880.0,23904.0,15746.5,20.952380952380953,1.1812201155442665,84.6614764998667
18,20260531,0.95,1.05,,ACO,457.5,53471.0,31869.5,25557.0,21.904761904761905,1.1681186945495545,7.143055399879813
18,20260531,0.95,1.05,,PaperImprovedAStar,350.0,49326.0,26369.0,18502.0,19.0,1.2043976159201462,67.52626359998249
18,20260531,0.95,1.05,,AdaptiveSingleNextHop,434.0,46411.0,27082.5,19416.5,21.50537634408602,1.1803668080745942,89.41925749997608
19,20260532,0.95,1.05,,ACO,458.5,54262.5,31852.5,25134.0,22.857142857142858,1.1681186945495523,7.135552299907431
19,20260532,0.95,1.05,,PaperImprovedAStar,350.5,50237.0,26382.0,17978.0,19.0,1.2040877815603148,61.076733000110835
19,20260532,0.95,1.05,,AdaptiveSingleNextHop,433.0,47645.5,27279.0,19041.0,19.892473118279568,1.1804084949919083,87.63886469998397
20,20260533,0.95,1.05,,ACO,459.5,54676.5,32352.0,25856.5,24.76190476190476,1.1681186945495523,7.046535399975255
20,20260533,0.95,1.05,,PaperImprovedAStar,349.5,50309.5,26300.5,18595.0,20.476190476190474,1.2045407536970738,61.270354100037366
20,20260533,0.95,1.05,,AdaptiveSingleNextHop,439.0,47250.5,27334.0,19385.5,20.43010752688172,1.1787217830818304,86.41829439997673
21,20260534,0.95,1.05,,ACO,461.0,54471.5,31826.0,25538.5,21.359223300970875,1.1681186945495552,7.112630299990997
21,20260534,0.95,1.05,,PaperImprovedAStar,350.5,49744.0,26018.0,18010.0,19.0,1.2041760185465449,63.59470889996737
21,20260534,0.95,1.05,,AdaptiveSingleNextHop,434.0,45565.0,25339.5,18558.0,22.58064516129032,1.1814771562966984,84.85360320005566
22,20260535,0.95,1.05,,ACO,461.5,52722.5,29692.0,23381.5,23.333333333333332,1.1681186945495547,7.003239500103518
22,20260535,0.95,1.05,,PaperImprovedAStar,349.5,48758.5,25556.0,18030.5,20.0,1.2046357028591297,62.86235880013555
22,20260535,0.95,1.05,,AdaptiveSingleNextHop,436.0,45173.5,25127.0,17698.0,20.0,1.1802413273736634,83.8279496000614
