method_label,source_group,line,source_type,source_zone,configured_people,evacuated_people,exit_name,people,share_within_group
ACO,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_4,11.0,0.15492957746478872
ACO,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L16_10,6.0,0.13043478260869565
ACO,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L16_11,5.0,0.10869565217391304
ACO,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L18_12,26.0,0.5652173913043478
ACO,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_2,1.0,0.021739130434782608
ACO,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_3,8.0,0.17391304347826086
ACO,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
ACO,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
ACO,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
ACO,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
ACO,L2_L16_transfer,L2,transfer_people,L16,152.0,152.0,Exit_L16_10,5.0,0.03289473684210526
ACO,L2_L16_transfer,L2,transfer_people,L16,152.0,152.0,Exit_L16_11,14.0,0.09210526315789473
ACO,L2_L16_transfer,L2,transfer_people,L16,152.0,152.0,Exit_L18_12,127.0,0.8355263157894737
ACO,L2_L16_transfer,L2,transfer_people,L16,152.0,152.0,Exit_L18_17,6.0,0.039473684210526314
ACO,L2_L18_transfer,L2,transfer_people,L18,157.0,157.0,Exit_L18_12,151.0,0.9617834394904459
ACO,L2_L18_transfer,L2,transfer_people,L18,157.0,157.0,Exit_L18_17,6.0,0.03821656050955414
ACO,L2_L7_transfer,L2,transfer_people,L7,217.0,217.0,Exit_L7_7,164.0,0.7557603686635944
ACO,L2_L7_transfer,L2,transfer_people,L7,217.0,217.0,Exit_L7_8/9,53.0,0.24423963133640553
ACO,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_7,14.0,0.42424242424242425
ACO,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_8/9,19.0,0.5757575757575758
ACO,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_7,24.0,0.5217391304347826
ACO,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_8/9,22.0,0.4782608695652174
ACO,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_7,22.0,0.6111111111111112
