scenario_mode,scenario_label,total_people,method,line,clearance_time,core_clearance_time,transfer_clearance_time,moderate_congestion_exposure_time,severe_congestion_exposure_time
1,mode1_regular_emergency,2187,ACO,L7,458.5,192.5,458.5,2425.0,0.0
1,mode1_regular_emergency,2187,ACO,L2,357.5,151.5,357.5,7726.0,0.0
1,mode1_regular_emergency,2187,ACO,L16,357.0,89.5,357.0,0.0,0.0
1,mode1_regular_emergency,2187,ACO,L18,356.5,356.5,267.5,0.0,0.0
1,mode1_regular_emergency,2187,ACO,Maglev,458.5,,,0.0,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L7,319.5,186.0,319.5,7201.5,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L2,308.5,151.5,308.5,7231.5,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L16,309.0,79.5,309.0,0.0,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L18,308.0,308.0,267.5,0.0,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,Maglev,319.5,,,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L7,319.5,169.5,319.5,2083.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L2,295.0,171.0,295.0,7192.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L16,294.0,79.5,294.0,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L18,267.5,211.0,267.5,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,Maglev,319.5,,,0.0,0.0
4,mode4_bidirectional_full_train,17905,ACO,L7,1206.5,1206.5,554.5,1436463.5,1297256.0
4,mode4_bidirectional_full_train,17905,ACO,L2,2261.5,2261.5,1940.5,1939016.5,1728729.5
4,mode4_bidirectional_full_train,17905,ACO,L16,1941.5,461.5,1941.5,188565.0,164726.5
4,mode4_bidirectional_full_train,17905,ACO,L18,1941.0,1941.0,267.5,1721118.5,1529252.5
4,mode4_bidirectional_full_train,17905,ACO,Maglev,820.5,820.5,,325913.5,314488.0
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L7,780.5,780.5,718.0,715852.0,558042.5
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L2,883.5,718.0,883.5,469505.0,149377.0
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L16,885.0,554.5,885.0,125714.5,84326.5
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L18,886.5,886.5,554.5,573087.5,338152.0
4,mode4_bidirectional_full_train,17905,ImprovedAStar,Maglev,717.0,717.0,,114707.0,65625.5
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L7,741.0,741.0,532.0,749865.5,609207.0
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L2,945.0,945.0,667.5,520603.0,303173.5
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L16,578.0,349.5,578.0,152753.5,134220.0
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L18,800.0,800.0,267.5,496629.0,318360.5
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,Maglev,534.0,534.0,,195367.5,159433.5
