scenario_mode,scenario_label,baseline,time_delta,time_pct,queueing_time_delta,queueing_time_pct,moderate_congestion_exposure_time_delta,moderate_congestion_exposure_time_pct,severe_congestion_exposure_time_delta,severe_congestion_exposure_time_pct,peak_density_delta,peak_density_pct,exit_hhi_delta,exit_hhi_pct,max_exit_share_delta,max_exit_share_pct
1,mode1_regular_emergency,ACO,-139.0,-30.31624863685932,-9602.5,-17.978842913312114,-6332.5,-20.42840782618514,-7583.0,-30.88232299578489,-3.80952380952381,-16.666666666666668,-0.01900242297200759,-13.654412129242807,-0.062185642432556115,-25.660377358490607
1,mode1_regular_emergency,ImprovedAStar,-30.5,-8.714285714285715,-5142.5,-10.50561797752809,-1170.0,-4.528564793311658,-1181.5,-6.508566077232414,-0.47619047619047095,-2.439024390243876,-0.006904079871728211,-5.433350061290141,-0.018747142203932393,-9.425287356321874
2,mode2_upbound_full_train,ACO,-540.0,-44.75756319933693,-1186157.5,-69.80850526642887,-1193832.0,-65.18640666698519,-1203114.5,-75.82889385753025,-212.45492371705961,-68.85113268608414,-0.0394230338967526,-30.119036119624166,-0.0702767270555445,-32.83720930232558
2,mode2_upbound_full_train,ImprovedAStar,19.0,2.9343629343629343,-82063.0,-13.790605892302432,-55851.0,-8.054292312939346,-26811.5,-6.534377897929515,-58.252427184466015,-37.73584905660377,-0.006688048435290403,-6.813708903050296,0.007366115867011802,5.401459854014642
3,mode3_downbound_full_train,ACO,-540.0,-44.75756319933693,-1099306.0,-69.22756240711352,-1105898.5,-64.35424970518568,-1112948.5,-75.4990767385603,-212.45492371705961,-68.85113268608414,-0.0325415293512078,-26.542158435065232,-0.06997810073661159,-32.697674418604656
3,mode3_downbound_full_train,ImprovedAStar,21.5,3.3333333333333335,-117304.5,-19.358503923948586,-97162.5,-13.690287064519243,-70870.5,-16.403537602651582,-70.3883495145631,-42.27405247813411,-0.0004356626846784978,-0.4814095419119607,0.010651005375273803,7.985074626865724
4,mode4_bidirectional_full_train,ACO,-1282.0,-56.6880389122264,-4214998.5,-78.6528231428597,-4285420.5,-75.40557974690493,-4353650.0,-83.46716825124525,-468.189223057644,-78.78184041835357,-0.032489059786123306,-26.24546927926729,-0.05853113655403519,-27.798408488063664
4,mode4_bidirectional_full_train,ImprovedAStar,126.0,14.762741652021088,-217684.0,-15.986457880078063,-204749.5,-12.776959606612209,-187867.5,-17.88838629602069,-61.53791737408032,-32.796712411400975,0.0003879109710633877,0.4266872786770401,0.01167271711812351,8.316752884998072
