scenario_mode,scenario_label,total_people,method,time,queueing_time,moderate_congestion_exposure_time,severe_congestion_exposure_time,peak_congestion_index,avg_speed,avg_travel_time,wall_clock_runtime_s
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,321.0,39143.5,3836.0,0.0,4.468085106382979,1.1651427554208895,98.2495252156281,237.92239459999837
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,844.5,1163206.0,1318405.5,595453.5,6.947890818858561,0.9556271438392134,109.44367963638572,3629.728057499975
