scenario_mode,scenario_label,baseline,total_people,time_baseline,time_adaptive,time_delta,time_improvement_pct,queueing_time_baseline,queueing_time_adaptive,queueing_time_delta,queueing_time_improvement_pct,moderate_congestion_exposure_time_baseline,moderate_congestion_exposure_time_adaptive,moderate_congestion_exposure_time_delta,moderate_congestion_exposure_time_improvement_pct,severe_congestion_exposure_time_baseline,severe_congestion_exposure_time_adaptive,severe_congestion_exposure_time_delta,severe_congestion_exposure_time_improvement_pct
1,mode1_regular_emergency,ACO,2187,541.5,321.0,-220.5,40.7202216066482,51307.5,39143.5,-12164.0,23.708034887686985,8239.0,3836.0,-4403.0,53.440951571792695,0.0,0.0,0.0,0.0
1,mode1_regular_emergency,ImprovedAStar,2187,321.0,321.0,0.0,0.0,49662.5,39143.5,-10519.0,21.180971558016612,11835.0,3836.0,-7999.0,67.58766370933671,0.0,0.0,0.0,0.0
4,mode4_bidirectional_full_train,ACO,17905,2262.5,844.5,-1418.0,62.67403314917127,4647520.5,1163206.0,-3484314.5,74.97147134692574,5677911.5,1318405.5,-4359506.0,76.78009775249227,4908226.5,595453.5,-4312773.0,87.86825546865043
4,mode4_bidirectional_full_train,ImprovedAStar,17905,887.0,844.5,-42.5,4.791431792559188,1947752.5,1163206.0,-784546.5,40.27957864256367,2024365.0,1318405.5,-705959.5,34.87313305653872,1180222.5,595453.5,-584769.0,49.54735230009596
