scenario_mode,scenario_label,total_people,method,time,avg_travel_time,queueing_time,moderate_congestion_exposure_time,severe_congestion_exposure_time,peak_density,peak_congestion_index,avg_speed,wall_clock_runtime_s
1,mode1_regular_emergency,2187,ACO,541.5,113.99077654749645,51307.5,8239.0,0.0,4.468085106382979,4.468085106382979,1.1027732816434404,14.973154700128362
1,mode1_regular_emergency,2187,ImprovedAStar,321.0,97.10866739352156,49662.5,11835.0,0.0,4.468085106382979,4.468085106382979,1.1500813377160606,10.139020000118762
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,321.0,98.2495252156281,39143.5,3836.0,0.0,4.468085106382979,4.468085106382979,1.1651427554208895,134.97997010010295
4,mode4_bidirectional_full_train,17905,ACO,2262.5,159.11444908018981,4647520.5,5677911.5,4908226.5,41.36666666666667,41.36666666666667,0.8808390994947589,92.3438960001804
4,mode4_bidirectional_full_train,17905,ImprovedAStar,887.0,121.51508563921831,1947752.5,2024365.0,1180222.5,8.045454545454545,10.055478502080444,0.9645094113912676,339.9362972001545
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,844.5,109.44367963638572,1163206.0,1318405.5,595453.5,5.5227272727272725,6.947890818858561,0.9556271438392134,1796.9729552001227
