method,node,queue_person_seconds,peak_people,peak_congestion_index,peak_load_ratio,peak_density
SUE_LogitEquilibrium,Transfer_L2-L7_Passageway,2643.0,217.0,0.9393939393939394,0.0,0.9393939393939394
SUE_LogitEquilibrium,Transfer_L7-L2_Z,1905.5,105.0,0.1146288209606987,0.0,0.1146288209606987
SUE_LogitEquilibrium,Gate_L2_S_West,1822.0,129.0,0.8845714285714287,0.8845714285714287,0.0
SUE_LogitEquilibrium,Gate_L7_West_Vert,1414.5,51.0,0.612,0.612,0.0
SUE_LogitEquilibrium,Gate_L2_N_West,1347.5,74.0,0.888,0.888,0.0
SUE_LogitEquilibrium,Gate_L2_S_East,1281.0,92.0,0.8832,0.8832,0.0
SUE_LogitEquilibrium,VN_2to7_Exit,1057.5,62.0,1.8844984802431612,0.0,1.8844984802431612
SUE_LogitEquilibrium,Gate_L2_N_East,759.0,55.0,0.8799999999999999,0.8799999999999999,0.0
SUE_LogitEquilibrium,Transfer_L2_L18_F1_Esc1,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
SUE_LogitEquilibrium,Transfer_L2_L18_F1_Esc2,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
SUE_LogitEquilibrium,Transfer_L2_L18_F1_Esc3,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
SUE_LogitEquilibrium,Gate_L7_N_West,508.0,18.0,0.6,0.6,0.0
NSGAII_MultiObjective,VN_2to7_Exit,4068.0,114.0,3.4650455927051675,0.0,3.4650455927051675
NSGAII_MultiObjective,Transfer_L2-L7_Passageway,2643.0,217.0,0.9393939393939394,0.0,0.9393939393939394
NSGAII_MultiObjective,Transfer_L7-L2_Z,2206.0,105.0,0.1146288209606987,0.0,0.1146288209606987
NSGAII_MultiObjective,Gate_L2_S_West,1855.0,129.0,0.8845714285714287,0.8845714285714287,0.0
NSGAII_MultiObjective,Gate_L2_S_East,1287.5,92.0,0.8832,0.8832,0.0
NSGAII_MultiObjective,Gate_L2_N_West,1039.5,74.0,0.888,0.888,0.0
NSGAII_MultiObjective,Gate_L7_West_Vert,832.0,51.0,0.612,0.612,0.0
NSGAII_MultiObjective,Gate_L2_N_East,758.5,55.0,0.8799999999999999,0.8799999999999999,0.0
NSGAII_MultiObjective,Gate_L7_N_West,672.0,21.0,0.7,0.7,0.0
NSGAII_MultiObjective,Transfer_L2_L18_F1_Esc1,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
NSGAII_MultiObjective,Transfer_L2_L18_F1_Esc2,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
NSGAII_MultiObjective,Transfer_L2_L18_F1_Esc3,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
DynamicSign_FlowEquilibrium,VN_2to7_Exit,14216.0,182.0,5.531914893617022,0.0,5.531914893617022
DynamicSign_FlowEquilibrium,VN_L18_Exit12_Entrance,3769.0,41.0,0.9318181818181818,0.0,0.9318181818181818
DynamicSign_FlowEquilibrium,Gate_L7_N_West,2765.0,43.0,1.4333333333333333,1.4333333333333333,0.0
DynamicSign_FlowEquilibrium,Transfer_L2-L7_Passageway,2643.0,217.0,0.9393939393939394,0.0,0.9393939393939394
DynamicSign_FlowEquilibrium,Transfer_L7-L2_Z,2201.0,105.0,0.1146288209606987,0.0,0.1146288209606987
DynamicSign_FlowEquilibrium,Gate_L2_N_West,2157.5,74.0,0.888,0.888,0.0
DynamicSign_FlowEquilibrium,Escalator_L2_down1,2118.5,39.0,1.1428571428571428,1.1428571428571428,0.0
DynamicSign_FlowEquilibrium,Gate_L2_S_West,1757.0,129.0,0.8845714285714287,0.8845714285714287,0.0
DynamicSign_FlowEquilibrium,VN_L18_Exit17_Entrance,1633.5,56.0,0.8615384615384616,0.0,0.8615384615384616
DynamicSign_FlowEquilibrium,Gate_L2_S_East,1313.5,92.0,0.8832,0.8832,0.0
DynamicSign_FlowEquilibrium,Stair_L7_1,1231.0,50.0,0.7112375533428166,0.7112375533428166,0.0
DynamicSign_FlowEquilibrium,Stair_L7_3,1193.5,40.0,0.5231037489102005,0.5231037489102005,0.0
